index,category,filename,path,source_url,normalized_url,original_name,alt_text,width,height,content_type,bytes,sha256,status,note
1,brand-logo,001-brand-logo-little-piece-of-paradise.jpg,brand-logo/001-brand-logo-little-piece-of-paradise.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/0ef4b2f4-495c-4c74-a38a-11e821a411e6/IMG_3802.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/0ef4b2f4-495c-4c74-a38a-11e821a411e6/IMG_3802.jpeg?format=2500w,IMG_3802.jpeg,Little Piece of Paradise,,,image/jpeg,57637,08f354ba33fa502b332acfd78736fce3879b8751ef0061f9b86627b034af0943,downloaded,
2,uncategorized,002-uncategorized-37.jpg,uncategorized/002-uncategorized-37.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e2e235c9-0408-4ab0-b455-f95e956d7091/37.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e2e235c9-0408-4ab0-b455-f95e956d7091/37.jpg?format=2500w,37.jpg,,945,570,image/jpeg,146683,2d1ec07ed7bed6fb70dd6bb09eee134c9f45eb765483e949cb1d3aaf69ac8010,downloaded,
3,uncategorized,003-uncategorized-50.jpg,uncategorized/003-uncategorized-50.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/432d3f4f-3b8d-457c-987c-7f30b5145f0a/50.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/432d3f4f-3b8d-457c-987c-7f30b5145f0a/50.jpg?format=2500w,50.jpg,,1280,472,image/jpeg,132266,a8db7fcadcc095719abc0ad99b0c2e16dab50a1f9f10b821a3a19754d1d685e0,downloaded,
4,uncategorized,004-uncategorized-steve-d5-3.jpg,uncategorized/004-uncategorized-steve-d5-3.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/dbe3e25d-e864-4b1c-9ee5-72205182f0d9/STEVE+D5+3.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/dbe3e25d-e864-4b1c-9ee5-72205182f0d9/STEVE+D5+3.jpg?format=2500w,STEVE+D5+3.jpg,,1280,720,image/jpeg,239773,063eb1f87cded13659e307d530205be7effc19d3e50ba714d6059457c8e013ce,downloaded,
5,uncategorized,005-uncategorized-fav-1d.jpg,uncategorized/005-uncategorized-fav-1d.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/54cdf800-8d4a-47d4-acc3-aa3d866bb68b/FAV+1D.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/54cdf800-8d4a-47d4-acc3-aa3d866bb68b/FAV+1D.jpg?format=2500w,FAV+1D.jpg,,1280,720,image/jpeg,245498,b41306767e070c2256a84a9de5261fb6b7141a12c587cfeb25f87962931139fe,downloaded,
6,design-renders,006-design-renders-shad-final-sm-water-feature-from-turf-night-view.jpg,design-renders/006-design-renders-shad-final-sm-water-feature-from-turf-night-view.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/5a8e1d66-7ed7-4977-b593-7ebe7ef997e8/SHAD+FINAL+SM+WATER+FEATURE+FROM+TURF+NIGHT+VIEW.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/5a8e1d66-7ed7-4977-b593-7ebe7ef997e8/SHAD+FINAL+SM+WATER+FEATURE+FROM+TURF+NIGHT+VIEW.jpg?format=2500w,SHAD+FINAL+SM+WATER+FEATURE+FROM+TURF+NIGHT+VIEW.jpg,,1280,720,image/jpeg,225211,a908d1b220bec42e970df77c1a6cecaa8244275e07928c2149f1b8041dfc4bca,downloaded,
7,uncategorized,007-uncategorized-40.jpg,uncategorized/007-uncategorized-40.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/7be6d1e5-fe27-4fd4-90ea-5efb5335ddee/40.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/7be6d1e5-fe27-4fd4-90ea-5efb5335ddee/40.jpg?format=2500w,40.jpg,,1155,641,image/jpeg,199647,fa34f5d2e45bc08b9c75cd8e6ad3b8fa01ddfcff486f630a0c59011f32aa2750,downloaded,
8,uncategorized,008-uncategorized-img-9755-jpeg.jpg,uncategorized/008-uncategorized-img-9755-jpeg.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/11eafb95-2974-41e3-9210-ca0474f5ff94/IMG_9755.JPEG?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/11eafb95-2974-41e3-9210-ca0474f5ff94/IMG_9755.JPEG?format=2500w,IMG_9755.JPEG,IMG_9755.JPEG,500,,image/jpeg,88485,aeda75a5b549ca9d465794c0c0b2df189586b8e46ff7901957a8f96f28154786,downloaded,
9,uncategorized,009-uncategorized-img-9028-jpg.jpg,uncategorized/009-uncategorized-img-9028-jpg.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/ac5b18f6-2f07-4ac1-a7bc-eee5b6e87013/IMG_9028.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/ac5b18f6-2f07-4ac1-a7bc-eee5b6e87013/IMG_9028.jpg?format=2500w,IMG_9028.jpg,IMG_9028.jpg,640,,image/jpeg,79348,33431526bf4e23826460ef03917e0fa5ca582700ee1b4d40ae406e76f9918b4e,downloaded,
10,uncategorized,010-uncategorized-21-jpg.jpg,uncategorized/010-uncategorized-21-jpg.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e0dc6a29-ceda-480e-aab8-0d1412ee010f/21.JPG?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e0dc6a29-ceda-480e-aab8-0d1412ee010f/21.JPG?format=2500w,21.JPG,21.JPG,640,,image/jpeg,69564,fc78ab324e69c526d64cd3aa6f1ca3d1680be254cfc5c9947dc2377cb50e8ab3,downloaded,
